journey_id,customer_id,product_id,journey_date,journey_time,event_type,device_type,page_url,session_duration,is_conversion_event,conversion_value
1,1,30.0,2024-09-17,19:43:00,product_view,tablet,/product/30,662,0,0.0
2,1,,2024-09-21,06:57:00,page_view,tablet,/product/30,1364,0,0.0
3,1,30.0,2024-09-24,16:07:00,product_view,mobile,/product/30,1213,0,0.0
4,1,,2024-10-01,18:12:00,feature_usage,desktop,/product/30,454,0,0.0
5,1,,2024-09-19,21:06:00,wishlist_add,mobile,/product/30,1442,0,0.0
6,1,,2024-10-06,16:03:00,page_view,tablet,/product/30,117,0,0.0
7,1,30.0,2024-09-12,22:10:00,product_view,mobile,/product/30,427,0,0.0
8,1,30.0,2024-09-18,00:02:00,product_view,tablet,/product/30,60,0,0.0
9,1,30.0,2024-09-11,06:52:00,add_to_cart,tablet,/product/30,130,0,0.0
10,1,,2024-09-19,02:02:00,page_view,mobile,/product/30,574,0,0.0
11,1,,2024-09-17,03:08:00,checkout_complete,tablet,/product/30,347,1,36.87
12,1,,2024-09-15,05:10:00,feature_usage,desktop,/product/30,1107,0,0.0
13,1,,2024-09-19,16:29:00,checkout_complete,mobile,/product/30,276,1,36.87
14,1,,2024-09-08,11:53:00,checkout_complete,mobile,/product/30,1794,1,36.87
15,2,,2022-03-06,23:51:00,feature_usage,mobile,/product/476,436,0,0.0
16,2,476.0,2022-03-16,02:34:00,product_view,mobile,/product/476,261,0,0.0
17,2,,2022-03-19,19:32:00,page_view,mobile,/product/476,299,0,0.0
18,2,,2022-03-01,02:42:00,checkout_complete,mobile,/product/476,1285,1,91.63
19,2,476.0,2022-03-16,23:26:00,product_view,desktop,/product/476,1654,0,0.0
20,2,476.0,2022-03-03,00:43:00,add_to_cart,mobile,/product/476,1194,0,0.0
21,2,,2022-03-21,01:27:00,checkout_complete,mobile,/product/476,1147,1,91.63
22,2,,2022-03-15,12:29:00,checkout_complete,desktop,/product/476,1380,1,91.63
23,5,,2023-09-15,14:53:00,feature_usage,mobile,/product/308,747,0,0.0
24,5,,2023-09-12,04:04:00,checkout_start,desktop,/product/308,1647,0,0.0
25,5,,2023-09-22,23:45:00,feature_usage,mobile,/product/308,1704,0,0.0
26,5,,2023-09-15,22:39:00,page_view,tablet,/product/308,1540,0,0.0
27,5,308.0,2023-09-14,03:14:00,product_view,tablet,/product/308,1436,0,0.0
28,5,,2023-09-13,07:51:00,checkout_complete,mobile,/product/308,240,1,28.02
29,5,,2025-08-20,23:24:00,checkout_complete,mobile,/product/439,202,1,57.27
30,5,,2025-08-02,14:20:00,page_view,tablet,/product/439,1589,0,0.0
31,5,,2025-08-04,04:49:00,checkout_complete,tablet,/product/439,954,1,57.27
32,5,439.0,2025-08-18,08:47:00,add_to_cart,tablet,/product/439,886,0,0.0
33,5,,2025-08-07,00:27:00,checkout_complete,mobile,/product/439,223,1,57.27
34,6,,2021-12-15,02:33:00,checkout_complete,desktop,/product/340,1081,1,18.01
35,6,340.0,2021-12-09,03:07:00,add_to_cart,desktop,/product/340,55,0,0.0
36,6,,2021-12-13,17:25:00,checkout_complete,mobile,/product/340,742,1,18.01
37,6,,2021-12-14,14:05:00,page_view,mobile,/product/340,482,0,0.0
38,6,,2021-12-27,22:41:00,checkout_complete,tablet,/product/340,293,1,18.01
39,6,,2021-12-14,19:45:00,feature_usage,mobile,/product/340,1719,0,0.0
40,6,,2021-12-11,03:33:00,checkout_start,desktop,/product/340,571,0,0.0
41,6,340.0,2021-12-17,17:37:00,product_view,tablet,/product/340,226,0,0.0
42,6,,2022-01-02,12:03:00,checkout_complete,tablet,/product/340,560,1,18.01
43,6,,2021-12-17,23:32:00,feature_usage,mobile,/product/340,1212,0,0.0
44,6,,2021-12-15,02:21:00,checkout_complete,mobile,/product/340,848,1,18.01
45,7,,2022-12-06,02:29:00,page_view,mobile,/product/140,923,0,0.0
46,7,,2022-12-02,16:37:00,page_view,mobile,/product/140,864,0,0.0
47,7,,2022-11-23,04:56:00,review_submitted,mobile,/product/140,1687,0,0.0
48,7,,2022-12-08,23:49:00,review_submitted,tablet,/product/140,1670,0,0.0
49,7,,2022-11-19,06:13:00,checkout_start,mobile,/product/140,649,0,0.0
50,7,,2022-11-19,19:58:00,page_view,mobile,/product/140,1094,0,0.0
51,7,,2022-11-11,10:37:00,checkout_complete,mobile,/product/140,1575,1,304.95
52,7,300.0,2024-04-22,02:17:00,product_view,mobile,/product/300,88,0,0.0
53,7,300.0,2024-04-30,22:57:00,add_to_cart,desktop,/product/300,234,0,0.0
54,7,,2024-04-23,12:21:00,page_view,mobile,/product/300,1471,0,0.0
55,7,300.0,2024-04-27,23:28:00,add_to_cart,mobile,/product/300,1549,0,0.0
56,7,,2024-04-12,23:05:00,checkout_complete,mobile,/product/300,1039,1,58.51
57,8,268.0,2024-06-02,05:58:00,product_view,tablet,/product/268,1507,0,0.0
58,8,,2024-06-02,10:35:00,page_view,tablet,/product/268,42,0,0.0
59,8,268.0,2024-05-12,12:45:00,add_to_cart,desktop,/product/268,872,0,0.0
60,8,,2024-05-27,05:45:00,page_view,mobile,/product/268,235,0,0.0
61,8,268.0,2024-06-08,17:37:00,product_view,tablet,/product/268,503,0,0.0
62,8,268.0,2024-05-30,02:33:00,product_view,tablet,/product/268,1251,0,0.0
63,8,268.0,2024-06-08,13:14:00,add_to_cart,desktop,/product/268,106,0,0.0
64,8,,2024-06-04,02:43:00,checkout_start,desktop,/product/268,1671,0,0.0
65,8,,2024-06-07,16:40:00,checkout_complete,mobile,/product/268,113,1,30.16
66,8,,2024-05-20,21:22:00,feature_usage,mobile,/product/268,687,0,0.0
67,8,,2024-05-19,05:49:00,page_view,mobile,/product/268,1231,0,0.0
68,8,,2024-05-23,04:28:00,checkout_start,mobile,/product/268,992,0,0.0
69,8,,2024-05-25,22:39:00,checkout_start,mobile,/product/268,40,0,0.0
70,8,,2024-06-09,15:32:00,checkout_complete,mobile,/product/268,1126,1,30.16
71,8,,2025-11-14,10:12:00,checkout_complete,mobile,/product/113,848,1,127.3
72,8,113.0,2025-10-26,01:46:00,add_to_cart,tablet,/product/113,1539,0,0.0
