metric_id,product_id,metric_date,dau,mau,conversion_rate,avg_session_duration,page_views,add_to_cart,checkout_initiated,purchases,revenue,refund_rate,nps_score,feature_adoption_rate,time_to_first_action
1,1,2026-02-27,43,645,0.0274,202,86,4,3,1,120.4,0.0582,32,0.3432,261
2,1,2026-02-26,30,510,0.0358,268,180,6,2,1,109.66,0.0337,48,0.2545,81
3,1,2026-02-25,47,1175,0.0318,89,94,12,3,1,152.89,0.0577,28,0.4085,21
4,1,2026-02-24,40,840,0.0282,511,360,10,5,1,115.27,0.0437,34,0.544,298
5,1,2026-02-23,43,946,0.0254,500,86,11,4,1,111.69,0.0647,53,0.7598,109
6,1,2026-02-22,47,1128,0.0298,476,235,6,4,1,143.29,0.0717,79,0.6922,64
7,1,2026-02-21,47,1363,0.0306,396,94,7,3,1,147.19,0.0582,21,0.5254,8
8,1,2026-02-20,48,768,0.0335,501,432,7,2,1,164.17,0.0316,57,0.4514,258
9,1,2026-02-19,47,987,0.0359,282,94,8,6,1,172.63,0.0116,55,0.6234,194
10,1,2026-02-18,46,1334,0.0377,100,414,9,5,1,177.12,0.053,74,0.5155,50
11,1,2026-02-17,44,836,0.0358,41,396,5,5,1,160.82,0.0266,35,0.4395,50
12,1,2026-02-16,45,855,0.037,248,135,11,4,1,169.96,0.0611,28,0.4165,68
13,1,2026-02-15,42,882,0.0388,82,294,4,4,1,166.5,0.0423,52,0.517,215
14,1,2026-02-14,44,968,0.0371,275,352,4,6,1,167.0,0.0368,67,0.3012,39
15,1,2026-02-13,45,1215,0.0342,517,270,9,2,1,157.06,0.0775,71,0.896,236
16,1,2026-02-12,41,1107,0.0327,132,287,11,2,1,136.93,0.0691,24,0.2774,230
17,1,2026-02-11,42,672,0.0335,481,378,8,3,1,143.73,0.0122,65,0.6935,73
18,1,2026-02-10,49,784,0.0294,340,147,5,5,1,147.05,0.0163,38,0.6804,236
19,1,2026-02-09,44,660,0.0348,312,176,11,5,1,156.36,0.063,20,0.8775,113
20,1,2026-02-08,43,1032,0.0319,33,86,6,3,1,140.29,0.023,22,0.41,178
21,1,2026-02-07,44,924,0.0331,479,132,8,5,1,148.95,0.067,33,0.3951,251
22,1,2026-02-06,50,1250,0.0308,503,450,10,4,1,157.3,0.0629,70,0.2898,116
23,1,2026-02-05,43,645,0.0326,445,387,12,4,1,143.33,0.0182,31,0.3543,77
24,1,2026-02-04,52,988,0.0375,66,312,5,5,1,199.21,0.0195,69,0.8855,137
25,1,2026-02-03,41,943,0.0392,336,369,9,2,1,164.06,0.0453,47,0.201,206
26,1,2026-02-02,49,1372,0.0302,365,196,14,6,1,151.19,0.0356,38,0.2853,100
27,1,2026-02-01,44,660,0.0283,53,396,8,3,1,127.18,0.0516,48,0.2121,248
28,1,2026-01-31,51,1224,0.0387,543,408,12,6,1,201.84,0.0293,55,0.2677,40
29,1,2026-01-30,54,1566,0.0408,139,162,5,3,2,225.38,0.0507,69,0.6663,185
30,1,2026-01-29,46,1334,0.0282,302,322,13,4,1,132.76,0.0329,49,0.6265,106
31,1,2026-01-28,56,1176,0.0333,569,392,10,5,1,190.52,0.0787,53,0.8739,210
32,1,2026-01-27,52,1352,0.0315,201,208,8,2,1,167.4,0.0492,20,0.3115,127
33,1,2026-01-26,49,931,0.0406,503,441,6,2,1,203.44,0.0612,67,0.266,39
34,1,2026-01-25,46,1288,0.0306,455,138,12,3,1,144.0,0.0282,47,0.3369,189
35,1,2026-01-24,53,1325,0.0383,493,265,7,3,2,207.19,0.0371,55,0.6063,28
36,1,2026-01-23,51,969,0.0408,505,153,5,5,2,212.38,0.0783,65,0.4517,96
37,1,2026-01-22,52,988,0.0363,291,416,13,7,1,192.85,0.0316,61,0.3937,178
38,1,2026-01-21,53,1007,0.0382,58,265,8,7,2,206.67,0.0335,32,0.2244,245
39,1,2026-01-20,43,1032,0.0432,213,172,6,3,1,189.94,0.0579,78,0.6557,244
