transaction_id,customer_id,product_id,transaction_date,transaction_time,quantity,unit_price,discount_applied,transaction_amount,profit_amount,payment_method,order_status,is_repeat_purchase
1,1,30,2024-10-06,20:32:00,2,18.44,0.0,36.87,12.73,paypal,pending,0
2,2,476,2022-03-28,22:16:00,2,45.81,0.0,91.63,27.76,debit_card,completed,0
3,5,308,2023-09-22,09:44:00,1,28.02,0.0,28.02,13.15,paypal,cancelled,0
4,5,439,2025-08-21,01:17:00,1,57.27,0.0,57.27,24.2,paypal,completed,1
5,6,340,2022-01-05,05:44:00,1,18.01,0.0,18.01,7.46,paypal,completed,0
6,7,140,2022-12-09,15:07:00,1,304.95,0.0,304.95,127.88,credit_card,completed,0
7,7,300,2024-05-11,11:49:00,1,58.51,0.0,58.51,21.68,credit_card,completed,1
8,8,268,2024-06-09,13:52:00,1,30.16,0.0,30.16,10.44,bank_transfer,completed,0
9,8,113,2025-11-19,11:42:00,1,127.3,0.0,127.3,50.85,paypal,completed,1
10,8,104,2025-08-15,20:47:00,1,33.5,0.0,33.5,10.09,debit_card,completed,1
11,8,276,2024-11-07,08:35:00,2,19.25,4.64,29.22,16.58,wallet,completed,1
12,8,231,2024-06-07,03:16:00,1,361.56,0.0,361.56,107.06,credit_card,completed,1
13,9,267,2024-05-23,06:44:00,1,13.72,0.0,13.72,6.13,wallet,completed,0
14,9,175,2025-12-03,02:38:00,1,23.41,0.0,23.41,7.15,credit_card,pending,1
15,9,49,2025-10-11,08:04:00,2,188.13,0.0,376.25,153.62,paypal,completed,1
16,9,190,2023-01-09,15:35:00,2,4.8,0.0,9.61,2.58,credit_card,completed,1
17,10,344,2023-05-27,09:17:00,1,66.27,0.0,66.27,17.51,debit_card,completed,0
18,10,421,2025-07-27,06:44:00,3,122.76,0.0,368.29,153.59,paypal,completed,1
19,11,216,2023-10-21,13:08:00,1,12.56,3.11,9.45,4.15,wallet,completed,0
20,11,488,2022-12-15,04:59:00,1,73.46,0.0,73.46,23.45,paypal,completed,1
21,12,465,2025-09-07,21:43:00,3,124.19,0.0,372.57,94.96,debit_card,completed,0
22,13,445,2024-06-25,18:35:00,1,15.93,0.0,15.93,5.38,bank_transfer,completed,0
23,15,153,2022-07-26,23:46:00,1,36.45,0.0,36.45,15.46,credit_card,completed,0
24,15,294,2025-06-08,08:32:00,2,61.37,0.0,122.75,46.91,credit_card,completed,1
25,15,26,2023-03-28,14:00:00,2,113.66,0.0,227.33,68.24,wallet,cancelled,1
26,16,320,2022-08-21,01:00:00,1,52.14,0.0,52.14,15.5,credit_card,completed,0
27,16,284,2024-12-03,09:19:00,2,15.2,0.0,30.4,12.72,credit_card,completed,1
28,18,386,2025-04-05,18:08:00,3,40.83,0.0,122.5,38.96,bank_transfer,completed,0
29,18,273,2024-08-05,09:40:00,2,95.97,0.0,191.93,74.21,debit_card,pending,1
30,18,55,2025-08-10,10:12:00,1,10.13,0.0,10.13,2.73,credit_card,completed,1
31,21,495,2022-06-24,21:28:00,2,18.84,0.0,37.69,15.79,paypal,completed,0
32,21,43,2025-11-02,12:41:00,1,86.47,0.0,86.47,25.54,wallet,completed,1
33,21,8,2025-03-20,21:43:00,1,216.35,52.98,163.38,80.64,credit_card,pending,1
34,21,177,2023-07-15,08:35:00,2,18.54,3.81,29.45,15.76,wallet,completed,1
35,22,151,2025-04-24,02:33:00,1,5.4,0.0,5.4,2.08,debit_card,completed,0
36,24,155,2023-06-25,13:17:00,2,57.94,0.0,115.88,38.64,bank_transfer,completed,0
37,24,344,2023-12-20,20:50:00,1,69.56,0.0,69.56,17.02,wallet,completed,1
38,26,201,2026-02-10,04:31:00,1,225.92,0.0,225.92,96.2,wallet,completed,0
39,27,225,2025-09-19,00:51:00,1,340.45,0.0,340.45,135.7,wallet,pending,0
40,27,15,2022-12-16,15:12:00,1,92.23,0.0,92.23,32.44,debit_card,completed,1
41,28,152,2024-02-01,15:43:00,1,82.05,0.0,82.05,26.2,credit_card,completed,0
42,29,461,2024-07-03,12:21:00,1,38.15,0.0,38.15,14.94,wallet,completed,0
43,29,484,2025-06-08,08:15:00,2,83.82,0.0,167.63,51.09,debit_card,pending,1
44,30,288,2022-11-17,19:44:00,1,19.08,0.0,19.08,8.05,debit_card,pending,0
45,30,431,2022-07-04,14:55:00,1,8.28,0.0,8.28,2.42,bank_transfer,completed,1
46,32,338,2025-04-29,12:51:00,1,5.13,0.0,5.13,1.44,bank_transfer,pending,0
47,33,61,2024-12-08,11:33:00,1,11.41,0.0,11.41,3.31,wallet,completed,0
48,33,464,2022-07-16,16:08:00,1,17.47,4.31,13.16,5.61,credit_card,completed,1
49,34,365,2025-06-25,08:03:00,1,7.87,0.0,7.87,2.83,bank_transfer,completed,0
50,34,88,2023-02-13,20:34:00,2,7.89,0.0,15.77,6.13,bank_transfer,pending,1
51,34,428,2023-12-20,10:25:00,2,13.39,0.0,26.77,7.1,paypal,completed,1
52,36,115,2025-01-19,00:15:00,1,19.61,0.0,19.61,5.35,credit_card,completed,0
53,36,309,2024-02-03,19:57:00,2,9.32,1.63,15.39,5.93,wallet,completed,1
54,37,210,2025-09-08,05:36:00,1,25.04,0.0,25.04,7.42,wallet,completed,0
55,38,187,2022-11-24,20:57:00,1,34.15,0.0,34.15,11.47,bank_transfer,completed,0
56,39,26,2023-10-05,21:59:00,1,115.63,0.0,115.63,33.83,credit_card,completed,0
57,40,368,2024-08-08,09:39:00,2,306.22,0.0,612.43,259.24,debit_card,completed,0
58,41,225,2023-04-16,23:30:00,1,348.93,0.0,348.93,134.43,paypal,completed,0
59,43,245,2025-09-24,18:12:00,1,104.74,0.0,104.74,37.55,credit_card,completed,0
60,43,47,2023-05-17,21:41:00,3,25.33,5.46,59.59,33.54,debit_card,pending,1
61,45,113,2023-12-17,20:00:00,1,121.19,0.0,121.19,51.77,debit_card,completed,0
62,50,334,2026-01-17,00:52:00,1,53.02,0.0,53.02,18.75,debit_card,completed,0
63,50,391,2024-05-26,18:12:00,1,24.42,0.0,24.42,10.1,paypal,completed,1
64,54,294,2025-02-17,11:55:00,3,63.64,0.0,190.93,69.34,credit_card,completed,0
65,54,328,2024-07-25,00:40:00,3,34.39,0.0,103.17,38.88,bank_transfer,completed,1
66,54,6,2025-07-19,22:59:00,1,18.11,3.62,14.49,5.83,debit_card,completed,1
67,55,266,2021-11-11,22:14:00,1,8.09,0.0,8.09,2.42,paypal,completed,0
68,58,277,2026-01-13,20:25:00,3,4.92,0.0,14.76,6.55,credit_card,completed,0
69,59,214,2025-07-03,23:07:00,2,9.23,0.0,18.46,6.87,debit_card,completed,0
70,59,441,2023-11-20,22:37:00,1,192.78,0.0,192.78,53.48,wallet,pending,1
71,60,5,2024-11-26,22:32:00,2,28.63,3.29,50.67,24.72,paypal,completed,0
72,60,301,2023-09-28,17:26:00,2,237.6,0.0,475.2,133.48,debit_card,returned,1
73,61,209,2025-01-05,14:27:00,2,27.72,0.0,55.45,15.62,paypal,completed,0
74,63,87,2023-02-01,19:13:00,1,7.21,0.0,7.21,3.23,paypal,completed,0
75,64,323,2023-11-23,08:30:00,3,17.24,1.62,46.88,22.7,credit_card,completed,0
76,64,489,2025-05-24,22:46:00,1,21.96,0.0,21.96,8.74,debit_card,completed,1
77,64,25,2024-11-08,19:11:00,1,39.09,0.0,39.09,16.17,wallet,completed,1
78,64,358,2021-11-08,05:19:00,2,127.4,0.0,254.8,74.56,bank_transfer,completed,1
79,64,205,2025-06-16,02:33:00,1,18.99,0.0,18.99,5.99,wallet,completed,1
80,64,327,2025-03-23,06:32:00,3,11.1,0.0,33.3,12.97,debit_card,completed,1
81,65,399,2023-09-12,23:26:00,1,15.45,0.0,15.45,6.05,debit_card,completed,0
82,66,161,2026-01-25,01:23:00,1,52.32,0.0,52.32,12.7,bank_transfer,completed,0
83,66,34,2022-12-20,16:25:00,1,88.05,0.0,88.05,29.04,bank_transfer,completed,1
84,67,464,2023-02-05,00:38:00,2,16.64,0.0,33.28,10.17,paypal,completed,0
85,67,99,2024-06-03,15:38:00,1,9.19,0.0,9.19,3.21,wallet,pending,1
86,68,263,2023-10-18,12:41:00,1,88.01,0.0,88.01,35.15,wallet,completed,0
87,69,114,2025-11-10,15:52:00,1,40.27,0.0,40.27,16.22,debit_card,completed,0
88,70,163,2026-01-21,02:52:00,1,138.85,0.0,138.85,43.05,paypal,pending,0
89,70,194,2023-03-01,18:43:00,2,19.88,0.0,39.76,15.12,wallet,completed,1
90,72,5,2022-11-29,13:49:00,1,27.13,0.0,27.13,12.09,wallet,completed,0
91,72,1,2023-03-10,15:26:00,2,98.26,0.0,196.52,89.96,credit_card,completed,1
92,72,64,2025-01-14,15:29:00,1,7.41,0.0,7.41,2.74,debit_card,completed,1
93,74,80,2025-10-30,14:09:00,1,41.01,2.5,38.51,15.63,bank_transfer,completed,0
94,76,22,2022-04-26,04:33:00,3,130.21,0.0,390.62,124.59,credit_card,completed,0
95,81,125,2024-05-10,12:55:00,1,26.56,0.0,26.56,6.72,credit_card,pending,0
96,82,375,2024-08-12,02:54:00,1,15.59,0.0,15.59,5.92,bank_transfer,pending,0
97,83,79,2024-05-08,23:08:00,1,58.95,0.0,58.95,15.0,debit_card,pending,0
98,83,491,2023-03-14,13:36:00,1,105.84,0.0,105.84,28.5,paypal,completed,1
99,83,154,2022-11-12,20:57:00,3,85.08,0.0,255.23,93.87,debit_card,completed,1
100,83,62,2024-06-08,16:00:00,1,90.44,0.0,90.44,31.64,paypal,cancelled,1
101,85,456,2021-12-11,19:49:00,1,8.96,0.0,8.96,2.38,credit_card,completed,0
102,85,173,2023-07-07,15:11:00,1,51.42,0.0,51.42,14.23,wallet,completed,1
