metric_id,product_id,metric_date,dau,mau,conversion_rate,avg_session_duration,page_views,add_to_cart,checkout_initiated,purchases,revenue,refund_rate,nps_score,feature_adoption_rate,time_to_first_action
1,1,2026-01-27,45,990,0.026,249,90,5,5,1,119.34,0.054,41,0.7558,81
2,1,2026-01-26,51,867,0.0217,364,408,14,7,1,112.97,0.0277,62,0.5784,89
3,1,2026-01-25,48,768,0.0243,460,288,6,3,1,119.21,0.0713,26,0.5215,273
4,1,2026-01-24,46,920,0.0239,385,322,10,2,1,112.44,0.0714,32,0.736,152
5,1,2026-01-23,48,864,0.0277,141,240,8,3,1,136.02,0.0348,20,0.8059,181
6,1,2026-01-22,43,731,0.0216,498,258,10,5,0,94.8,0.0304,48,0.2587,295
7,1,2026-01-21,48,1008,0.0277,108,432,9,3,1,135.9,0.0395,26,0.3938,268
8,1,2026-01-20,54,972,0.0245,379,216,14,7,1,135.18,0.061,48,0.7316,182
9,1,2026-01-19,58,1102,0.0259,288,464,6,3,1,153.37,0.02,53,0.3266,255
10,1,2026-01-18,44,704,0.0271,288,352,9,4,1,121.82,0.0463,37,0.4999,270
11,1,2026-01-17,45,990,0.0219,58,225,10,2,0,100.49,0.0577,73,0.5949,33
12,1,2026-01-16,45,675,0.028,376,405,9,2,1,128.74,0.0292,71,0.6824,240
13,1,2026-01-15,54,1566,0.0306,147,324,9,5,1,168.7,0.0486,50,0.5459,180
14,1,2026-01-14,52,1144,0.0255,544,156,6,7,1,135.34,0.0635,33,0.6072,142
15,1,2026-01-13,45,810,0.0266,176,135,9,4,1,122.23,0.0422,67,0.3826,125
16,1,2026-01-12,45,765,0.0244,200,90,13,2,1,112.15,0.0203,21,0.3466,164
17,1,2026-01-11,50,900,0.0265,531,450,5,3,1,135.35,0.028,65,0.2031,144
18,1,2026-01-10,49,1274,0.0307,400,441,13,4,1,153.58,0.0586,51,0.2115,75
19,1,2026-01-09,47,1128,0.0236,526,329,9,5,1,113.5,0.0187,66,0.5203,163
20,1,2026-01-08,47,752,0.0284,64,423,9,3,1,136.6,0.0791,33,0.4378,75
21,1,2026-01-07,56,1624,0.0259,170,112,7,5,1,148.39,0.0501,78,0.285,81
22,1,2026-01-06,55,1430,0.0289,187,495,7,2,1,162.68,0.0584,43,0.664,138
23,1,2026-01-05,50,1200,0.0265,446,350,9,6,1,135.18,0.0157,22,0.7842,8
24,1,2026-01-04,48,1008,0.0247,230,336,10,2,1,121.26,0.0166,54,0.7439,62
25,1,2026-01-03,49,1176,0.0334,526,147,12,5,1,167.33,0.0238,23,0.511,69
26,1,2026-01-02,54,1458,0.0299,246,270,15,5,1,164.89,0.0348,50,0.8888,272
27,1,2026-01-01,47,1081,0.026,451,141,8,3,1,124.83,0.0476,51,0.2392,152
28,1,2025-12-31,50,1150,0.03,516,450,8,3,1,153.23,0.0778,53,0.7074,73
29,1,2025-12-30,52,832,0.0255,562,260,10,5,1,135.29,0.011,74,0.8785,277
30,1,2025-12-29,51,1224,0.0299,190,459,12,5,1,155.86,0.0791,45,0.4302,55
31,1,2025-12-28,52,988,0.0334,323,468,10,6,1,177.67,0.0173,75,0.708,80
32,1,2025-12-27,65,1625,0.0337,89,130,18,4,2,224.08,0.0201,47,0.2835,216
33,1,2025-12-26,54,1134,0.0265,364,378,11,7,1,146.23,0.0399,77,0.4655,277
34,1,2025-12-25,50,1150,0.0245,315,400,10,5,1,124.99,0.0293,59,0.4655,206
35,1,2025-12-24,59,1239,0.0274,579,295,14,3,1,165.21,0.0533,37,0.2417,265
36,1,2025-12-23,47,893,0.0257,386,282,13,2,1,123.37,0.0236,47,0.6671,294
37,1,2025-12-22,61,1769,0.0303,101,549,12,7,1,188.73,0.0503,33,0.4482,194
38,1,2025-12-21,62,1488,0.0294,527,186,10,6,1,186.05,0.0518,68,0.8646,213
39,1,2025-12-20,49,882,0.0325,126,343,5,5,1,162.57,0.0777,31,0.3979,158
40,1,2025-12-19,45,900,0.0292,207,315,7,3,1,134.16,0.0408,60,0.7871,212
41,1,2025-12-18,53,1431,0.0332,87,212,9,7,1,179.75,0.0646,49,0.6885,43
42,1,2025-12-17,61,915,0.0312,79,549,13,4,1,194.53,0.0204,58,0.832,72
43,1,2025-12-16,64,1792,0.0304,99,128,7,5,1,198.78,0.0264,67,0.6041,294
44,1,2025-12-15,68,1360,0.0354,164,544,14,7,2,245.78,0.057,56,0.6798,194
45,1,2025-12-14,55,1265,0.0247,185,110,5,3,1,138.57,0.0608,61,0.6658,171
46,1,2025-12-13,65,975,0.0298,396,130,8,3,1,198.2,0.0692,68,0.525,71
47,1,2025-12-12,64,960,0.0293,35,320,16,7,1,191.94,0.0436,45,0.3877,292
48,1,2025-12-11,57,1140,0.0269,435,456,14,4,1,156.6,0.0302,29,0.3139,106
49,1,2025-12-10,62,1612,0.0268,30,496,7,5,1,169.82,0.0697,61,0.3207,297
50,1,2025-12-09,51,1275,0.0364,508,204,7,6,1,189.63,0.0138,68,0.546,89
51,1,2025-12-08,44,1100,0.027,594,88,7,3,1,121.47,0.0398,76,0.3759,73
52,1,2025-12-07,63,1764,0.028,554,441,11,6,1,180.58,0.0239,49,0.5357,193
53,1,2025-12-06,66,1056,0.0296,256,132,7,5,1,199.34,0.0245,53,0.863,173
54,1,2025-12-05,64,1344,0.0263,539,320,11,8,1,172.31,0.0423,47,0.652,150
55,1,2025-12-04,64,1472,0.0329,371,256,7,5,2,215.17,0.0522,33,0.3248,39
56,1,2025-12-03,65,1820,0.0295,48,390,19,9,1,196.03,0.0226,30,0.6738,135
57,1,2025-12-02,63,1575,0.0264,311,378,8,4,1,170.17,0.0544,58,0.4356,21
58,1,2025-12-01,56,1624,0.0251,351,112,15,7,1,143.56,0.039,66,0.4592,224
59,1,2025-11-30,55,1595,0.0312,348,110,7,7,1,175.12,0.0268,28,0.407,143
60,1,2025-11-29,62,1178,0.0307,53,124,8,9,1,194.27,0.0412,40,0.4702,104
61,1,2025-11-28,66,1386,0.035,106,594,16,7,2,236.14,0.0505,79,0.235,258
62,1,2025-11-27,51,816,0.028,38,102,8,5,1,145.97,0.0591,70,0.226,285
63,1,2025-11-26,54,1080,0.0368,456,486,5,5,1,203.02,0.0717,44,0.7893,102
64,1,2025-11-25,64,1728,0.0303,395,320,16,4,1,198.06,0.0242,73,0.8167,64
