transaction_id,customer_id,product_id,transaction_date,transaction_time,quantity,unit_price,discount_applied,transaction_amount,profit_amount,payment_method,order_status,is_repeat_purchase
1,1,30,2024-10-06,20:32:00,2,18.44,0.0,36.87,12.73,paypal,pending,0
2,2,476,2022-03-28,22:16:00,2,45.81,0.0,91.63,27.76,debit_card,completed,0
3,5,308,2023-09-22,09:44:00,1,28.02,0.0,28.02,13.15,paypal,cancelled,0
4,5,439,2025-08-21,01:17:00,1,57.27,0.0,57.27,24.2,paypal,completed,1
5,6,340,2022-01-05,05:44:00,1,18.01,0.0,18.01,7.46,paypal,completed,0
6,7,140,2022-12-09,15:07:00,1,304.95,0.0,304.95,127.88,credit_card,completed,0
7,7,300,2024-05-11,11:49:00,1,58.51,0.0,58.51,21.68,credit_card,completed,1
8,8,268,2024-06-09,13:52:00,1,30.16,0.0,30.16,10.44,bank_transfer,completed,0
9,8,113,2025-11-19,11:42:00,1,127.3,0.0,127.3,50.85,paypal,completed,1
10,8,104,2025-08-15,20:47:00,1,33.5,0.0,33.5,10.09,debit_card,completed,1
11,8,276,2024-11-07,08:35:00,2,19.25,4.64,29.22,16.58,wallet,completed,1
12,8,231,2024-06-07,03:16:00,1,361.56,0.0,361.56,107.06,credit_card,completed,1
13,9,267,2024-05-23,06:44:00,1,13.72,0.0,13.72,6.13,wallet,completed,0
14,9,175,2025-12-03,02:38:00,1,23.41,0.0,23.41,7.15,credit_card,pending,1
15,9,49,2025-10-11,08:04:00,2,188.13,0.0,376.25,153.62,paypal,completed,1
16,9,190,2023-01-09,15:35:00,2,4.8,0.0,9.61,2.58,credit_card,completed,1
17,10,344,2023-05-27,09:17:00,1,66.27,0.0,66.27,17.51,debit_card,completed,0
18,10,421,2025-07-27,06:44:00,3,122.76,0.0,368.29,153.59,paypal,completed,1
19,11,216,2023-10-21,13:08:00,1,12.56,3.11,9.45,4.15,wallet,completed,0
20,11,488,2022-12-15,04:59:00,1,73.46,0.0,73.46,23.45,paypal,completed,1
21,12,465,2025-09-07,21:43:00,3,124.19,0.0,372.57,94.96,debit_card,completed,0
22,13,445,2024-06-25,18:35:00,1,15.93,0.0,15.93,5.38,bank_transfer,completed,0
23,15,153,2022-07-26,23:46:00,1,36.45,0.0,36.45,15.46,credit_card,completed,0
24,15,294,2025-06-08,08:32:00,2,61.37,0.0,122.75,46.91,credit_card,completed,1
25,15,26,2023-03-28,14:00:00,2,113.66,0.0,227.33,68.24,wallet,cancelled,1
26,16,320,2022-08-21,01:00:00,1,52.14,0.0,52.14,15.5,credit_card,completed,0
27,16,284,2024-12-03,09:19:00,2,15.2,0.0,30.4,12.72,credit_card,completed,1
28,18,386,2025-04-05,18:08:00,3,40.83,0.0,122.5,38.96,bank_transfer,completed,0
29,18,273,2024-08-05,09:40:00,2,95.97,0.0,191.93,74.21,debit_card,pending,1
30,18,55,2025-08-10,10:12:00,1,10.13,0.0,10.13,2.73,credit_card,completed,1
31,21,495,2022-06-24,21:28:00,2,18.84,0.0,37.69,15.79,paypal,completed,0
32,21,43,2025-11-02,12:41:00,1,86.47,0.0,86.47,25.54,wallet,completed,1
33,21,8,2025-03-20,21:43:00,1,216.35,52.98,163.38,80.64,credit_card,pending,1
34,21,177,2023-07-15,08:35:00,2,18.54,3.81,29.45,15.76,wallet,completed,1
35,22,151,2025-04-24,02:33:00,1,5.4,0.0,5.4,2.08,debit_card,completed,0
36,24,155,2023-06-25,13:17:00,2,57.94,0.0,115.88,38.64,bank_transfer,completed,0
37,24,344,2023-12-20,20:50:00,1,69.56,0.0,69.56,17.02,wallet,completed,1
38,26,117,2025-10-26,14:20:00,1,34.85,0.0,34.85,11.6,paypal,completed,0
39,28,141,2025-10-05,19:25:00,2,28.95,0.0,57.91,21.19,credit_card,pending,0
40,29,272,2025-10-30,10:14:00,1,82.85,0.0,82.85,25.22,debit_card,completed,0
41,29,249,2025-02-25,02:36:00,1,10.7,0.0,10.7,3.21,bank_transfer,pending,1
42,29,24,2024-07-20,21:29:00,2,50.53,0.0,101.05,42.1,wallet,completed,1
43,31,262,2026-01-14,04:12:00,1,39.42,0.0,39.42,15.51,bank_transfer,completed,0
44,32,25,2024-03-25,23:46:00,1,38.92,0.0,38.92,16.19,paypal,completed,0
45,34,353,2024-10-05,16:57:00,3,165.97,0.0,497.9,167.29,credit_card,completed,0
46,34,478,2024-10-15,00:52:00,2,39.89,0.0,79.77,30.71,wallet,completed,1
47,35,204,2026-01-13,05:12:00,1,124.28,0.0,124.28,37.48,paypal,cancelled,0
48,35,154,2022-05-17,17:12:00,2,82.85,0.0,165.7,63.25,wallet,completed,1
49,36,108,2026-01-05,23:45:00,3,65.65,0.0,196.95,51.7,credit_card,completed,0
50,37,373,2023-01-11,19:31:00,2,99.09,0.0,198.19,55.19,bank_transfer,completed,0
51,37,282,2025-07-06,15:23:00,2,131.65,0.0,263.3,83.59,paypal,completed,1
52,39,203,2024-09-27,08:04:00,1,18.56,0.0,18.56,5.03,bank_transfer,completed,0
53,41,173,2024-06-16,02:57:00,2,49.83,0.0,99.66,28.93,bank_transfer,completed,0
54,41,37,2022-10-02,14:52:00,1,5.0,0.0,5.0,1.72,wallet,completed,1
55,42,273,2023-01-19,01:26:00,1,95.75,0.0,95.75,37.14,bank_transfer,completed,0
56,42,188,2022-12-28,12:09:00,1,7.41,0.0,7.41,2.58,credit_card,completed,1
57,43,406,2022-12-03,16:22:00,1,23.88,0.0,23.88,7.41,credit_card,completed,0
58,43,272,2023-08-24,09:47:00,1,80.35,0.0,80.35,25.6,wallet,cancelled,1
59,44,189,2021-09-30,14:56:00,1,11.3,0.0,11.3,3.5,paypal,completed,0
60,44,151,2024-10-30,00:48:00,1,5.01,0.0,5.01,2.14,wallet,cancelled,1
61,45,195,2025-03-24,05:34:00,1,77.97,0.0,77.97,33.06,credit_card,completed,0
62,46,334,2024-12-16,00:52:00,1,53.02,0.0,53.02,18.75,debit_card,completed,0
63,47,281,2023-08-01,07:20:00,1,27.88,0.0,27.88,12.45,wallet,completed,0
64,47,397,2021-08-17,09:08:00,1,19.78,0.0,19.78,4.99,bank_transfer,completed,1
65,47,447,2025-10-14,09:32:00,3,13.51,1.49,36.05,17.75,bank_transfer,pending,1
66,48,355,2024-07-18,19:57:00,1,12.12,0.0,12.12,5.23,bank_transfer,completed,0
67,49,87,2026-01-14,11:16:00,1,7.26,0.0,7.26,3.22,paypal,cancelled,0
68,52,277,2025-03-27,20:25:00,3,4.92,0.0,14.76,6.55,credit_card,completed,0
69,53,339,2023-12-19,07:33:00,1,12.92,0.0,12.92,5.06,paypal,completed,0
70,53,474,2023-12-09,05:52:00,3,21.7,0.0,65.11,15.82,bank_transfer,completed,1
71,54,489,2025-06-05,12:15:00,3,23.47,0.0,70.4,25.53,wallet,completed,0
72,55,402,2024-05-03,23:42:00,1,240.17,0.0,240.17,75.33,debit_card,completed,0
73,55,155,2024-05-15,22:32:00,1,56.84,0.0,56.84,19.48,paypal,completed,1
74,61,474,2022-06-20,03:40:00,1,21.32,3.33,17.99,5.83,paypal,completed,0
75,62,400,2023-12-07,08:51:00,1,53.7,0.0,53.7,19.84,wallet,pending,0
76,63,19,2022-09-15,02:01:00,3,260.65,0.0,781.94,338.08,wallet,cancelled,0
77,64,221,2024-10-13,03:58:00,2,22.45,0.0,44.9,16.95,wallet,completed,0
78,64,267,2025-08-23,01:28:00,3,14.31,0.0,42.93,18.13,paypal,completed,1
79,64,327,2025-03-23,06:32:00,3,11.1,0.0,33.3,12.97,debit_card,completed,1
80,64,382,2025-10-21,12:46:00,1,40.44,0.0,40.44,17.9,paypal,completed,1
81,64,152,2026-01-05,11:25:00,1,87.44,0.0,87.44,25.39,wallet,completed,1
82,66,164,2026-01-03,11:18:00,1,22.76,0.0,22.76,10.0,debit_card,completed,0
83,67,316,2025-11-20,18:23:00,1,19.67,0.0,19.67,6.99,wallet,completed,0
84,70,61,2023-06-18,07:00:00,1,10.97,0.0,10.97,3.37,bank_transfer,completed,0
85,72,141,2022-12-17,22:50:00,3,27.8,0.0,83.39,32.31,credit_card,completed,0
86,73,389,2024-04-30,18:50:00,3,30.02,0.0,90.05,31.01,debit_card,completed,0
87,73,287,2022-09-20,02:33:00,1,66.01,0.0,66.01,26.38,wallet,completed,1
88,74,181,2022-01-04,05:39:00,1,8.44,0.0,8.44,2.31,paypal,completed,0
89,74,492,2023-02-08,02:20:00,1,5.42,0.0,5.42,2.06,wallet,completed,1
90,74,344,2021-06-14,12:37:00,1,69.5,0.0,69.5,17.02,wallet,completed,1
91,75,272,2024-03-09,00:31:00,1,82.86,0.0,82.86,25.22,credit_card,completed,0
92,75,485,2021-12-10,03:56:00,3,11.8,0.0,35.4,11.1,paypal,completed,1
93,76,241,2022-02-07,21:10:00,1,10.11,0.0,10.11,4.55,bank_transfer,completed,0
94,76,29,2024-06-17,22:31:00,1,4.76,0.0,4.76,1.87,paypal,completed,1
95,77,125,2024-10-17,12:55:00,1,26.56,0.0,26.56,6.72,credit_card,pending,0
96,77,364,2024-12-24,21:28:00,1,206.38,0.0,206.38,67.78,paypal,completed,1
97,78,319,2021-07-25,08:31:00,1,35.95,0.0,35.95,12.73,paypal,cancelled,0
98,79,278,2024-01-26,04:26:00,1,5.02,0.0,5.02,1.91,debit_card,completed,0
99,79,253,2025-04-29,09:03:00,1,129.99,0.0,129.99,41.48,bank_transfer,completed,1
100,79,218,2023-06-11,18:49:00,1,70.89,13.27,57.63,26.46,credit_card,pending,1
101,79,156,2022-05-02,10:19:00,2,23.09,0.0,46.17,19.67,debit_card,completed,1
102,81,104,2024-08-09,06:42:00,1,31.42,0.0,31.42,10.4,wallet,completed,0
